INTL_20160419_000011	Получить 455 TP.	사용 시 455 TP를 획득합니다.				
INTL_20160419_000012	Получить 266 TP.	사용 시 266 TP를 획득합니다.				
INTL_20160419_000013	Получить 112 TP.	사용 시 112 TP를 획득합니다.				
INTL_20160419_000014	Щелкните правой кнопкой мыши, чтобы получить следующие предметы:{nl} - 455 TP{nl} - Token (60 дней){nl} - Аксессуар для головы - Popolion Doll{nl} - Аксессуар для головы - Hanaming Doll{nl} - Hoglan Companion Voucher{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 455 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	ETC_20160320_021185	Right-click to obtain the following items:{nl} - 650 TP{nl} - Token (60 Days){nl} - Hair Accessory - Popolion Doll{nl} - Hair Accessory - Hanaming Doll{nl} - Hoglan Companion Voucher{nl} - Stat Reset Potion{nl} - Skill Reset Potion{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 650 TP{nl} - 토큰(60일){nl} - 헤어 악세서리 - 포포리온 인형{nl} - 헤어 악세서리 - 하나밍 인형{nl} - 호글란 컴패니언 교환권{nl} - 스탯초기화 포션{nl} - 스킬 초기화 포션{nl}	
INTL_20160419_000015	Щелкните правой кнопкой мыши, чтобы получить следующие предметы:{nl} - 266 TP{nl} - Аксессуар для головы - Popolion Doll{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 266 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	ETC_20160320_021189	Right-click to obtain the following items:{nl} - 380 TP{nl} - Token (60 Days){nl} - Hair Accessory - Popolion Doll{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 380 TP{nl} - 토큰 (30일){nl} - 헤어 악세서리 - 포포리온 인형{nl}	
INTL_20160425_000016	Дает Token привилегии для всех персонажей на сервере на 60 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +20% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 60 раз	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160326_000005	Дает Token привилегии для всех персонажей на сервере на 60 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl}(Складывается с EXP Tome эффектом){nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 60 раз	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160425_000017	Дает Token привилегии для всех персонажей на сервере на 30 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 30 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	ETC_20160320_021192	Grants Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +30% EXP from hunting monsters{nl}(Stacks with the EXP Tome effect){nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 30 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160425_000018	Дает Token привилегии для всех персонажей на сервере на 60 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 60 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	ETC_20160320_021194	Grants Token benefits to all your characters in the server for 30 days. Right-click to use.{nl}[Token Benefits]{nl} - Able to learn up to 2 attributes simultaneously{nl} - Reduced Market commission fee (30% {img white_right_arrow 16 16} 10%){nl} - Able to list up to 5 items on the Market{nl} - +3 increased character movement speed{nl} - +30% EXP from hunting monsters{nl}(Stacks with the EXP Tome effect){nl} - Able to use Premium Gestures{nl} - Increased maximum buff count{nl} - Able to use Personal Trade up to 60 times{nl} - 1 extra instance entry for missions and dungeons	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160426_000019	Дает Token привилегии для всех персонажей на сервере на 60 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl}(Складывается с EXP Tome эффектом){nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 60 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160425_000016	Дает Token привилегии для всех персонажей на сервере на 60 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +20% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 60 раз	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160426_000020	Дает Token привилегии для всех персонажей на сервере на 30 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 30 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	INTL_20160425_000017	Дает Token привилегии для всех персонажей на сервере на 30 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 30 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160426_000021	Дает Token привилегии для всех персонажей на сервере на 60 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl}(Складывается с EXP Tome эффектом){nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 60 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	INTL_20160425_000018	Дает Token привилегии для всех персонажей на сервере на 60 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 60 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160512_000022	Нажми, чтобы получить следующие предметы:{nl} - 190 TP{nl} - Token (15 дней){nl} - По 20 Highly Condensed HP/SP Potion{nl} - 15x Soul Crystal{nl} - 15x Megaphone{nl} - 15x Warp Scroll{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}				
INTL_20160512_000023	Получить 190 TP.	사용 시 190 TP를 획득합니다.				
INTL_20160512_000024	Нажми, чтобы получить следующие предметы:{nl} - Token (30 дней){nl} - 4x Enchant Scroll{nl} - 5x Instanced Dungeon Reset Voucher{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}				
INTL_20160728_000025	Дает Token привилегии для всех персонажей на сервере на 30 дней. Щелкните правой кнопкой мыши, чтобы использовать.{nl}Token привелегии:{nl} - Возможность выучить 2 атрибута одновременно{nl} - Уменьшение комиссии на аукционе с (30% {img white_right_arrow 16 16} 10%){nl} - Возможность выставить до 5 предметов на аукционе{nl} - +3 к Скорости Передвижения{nl} - +30% EXP за убийство монстров{nl} - Возможность использовать Премиум Жесты{nl} - Увеличивает максимальное кол-во положительных эффектов. {nl} - Возможность использовать Личный торг 30 раз{nl} - 1 дополнительный вход для Миссий и Подземелий	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장				
